Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2/1/2007,00:00:00,0.442,0.122,241.06,1.8,0,0,0
2/1/2007,00:01:00,0.37,0,241.22,1.6,0,0,0
2/1/2007,00:02:00,0.368,0,241.03,1.6,0,0,0
2/1/2007,00:03:00,0.37,0,241.41,1.6,0,0,0
2/1/2007,00:04:00,0.37,0,241.22,1.6,0,0,0
2/1/2007,00:05:00,0.368,0,241.03,1.6,0,0,0
2/1/2007,00:06:00,0.368,0,240.47,1.4,0,0,0
2/1/2007,00:07:00,0.366,0,240.26,1.4,0,0,0
2/1/2007,00:08:00,0.372,0,241.88,1.6,0,0,0
2/1/2007,00:09:00,0.37,0,241.21,1.6,0,0,0
2/1/2007,00:10:00,0.37,0,241.35,1.6,0,0,0
2/1/2007,00:11:00,0.372,0,241.93,1.6,0,0,0
2/1/2007,00:12:00,0.374,0,242.47,1.6,0,0,0
2/1/2007,00:13:00,0.372,0,242.15,1.6,0,0,0
2/1/2007,00:14:00,0.372,0,241.84,1.6,0,0,0
2/1/2007,00:15:00,0.37,0,241.6,1.6,0,0,0
2/1/2007,00:16:00,0.372,0,242.18,1.6,0,0,0
2/1/2007,00:17:00,0.372,0,242.04,1.6,0,0,0
2/1/2007,00:18:00,0.374,0,242.42,1.6,0,0,0
2/1/2007,00:19:00,0.374,0,242.61,1.6,0,0,0
2/1/2007,00:20:00,0.372,0,241.79,1.6,0,0,0
2/1/2007,00:21:00,0.372,0,241.69,1.6,0,0,0
2/1/2007,00:22:00,0.37,0,241.51,1.6,0,0,0
2/1/2007,00:23:00,0.372,0,241.7,1.6,0,0,0
2/1/2007,00:24:00,0.372,0,241.91,1.6,0,0,0
2/1/2007,00:25:00,0.376,0,243.03,1.6,0,0,0
2/1/2007,00:26:00,0.378,0,244.09,1.6,0,0,0
2/1/2007,00:27:00,0.468,0.126,243.46,2,0,0,0
2/1/2007,00:28:00,0.552,0.234,243.17,2.6,0,0,0
2/1/2007,00:29:00,0.556,0.27,243.17,2.4,0,0,0
2/1/2007,00:30:00,0.554,0.268,242.95,2.4,0,0,0
2/1/2007,00:31:00,0.65,0.394,242.48,3.2,0,0,0
2/1/2007,00:32:00,0.63,0.386,241.98,3,0,1,0
2/1/2007,00:33:00,0.626,0.386,242.09,3,0,2,0
2/1/2007,00:34:00,0.624,0.386,241.84,3,0,1,0
2/1/2007,00:35:00,0.622,0.386,242.09,3,0,1,0
2/1/2007,00:36:00,0.602,0.358,242.48,2.8,0,2,0
2/1/2007,00:37:00,0.554,0.288,242.94,2.6,0,1,0
2/1/2007,00:38:00,0.552,0.286,242.85,2.6,0,2,0
2/1/2007,00:39:00,0.55,0.282,242.32,2.4,0,1,0
2/1/2007,00:40:00,0.548,0.28,242.03,2.4,0,1,0
2/1/2007,00:41:00,0.546,0.28,241.87,2.4,0,2,0
2/1/2007,00:42:00,0.53,0.254,241.29,2.4,0,1,0
2/1/2007,00:43:00,0.45,0.14,241.27,2,0,2,0
2/1/2007,00:44:00,0.448,0.138,240.7,1.8,0,1,0
2/1/2007,00:45:00,0.45,0.142,241.75,2,0,1,0
2/1/2007,00:46:00,0.45,0.144,241.91,2,0,2,0
2/1/2007,00:47:00,0.45,0.144,242.09,2,0,1,0
2/1/2007,00:48:00,0.454,0.152,243.5,2,0,1,0
2/1/2007,00:49:00,0.452,0.15,243.21,2,0,1,0
2/1/2007,00:50:00,0.45,0.148,242.8,2,0,2,0
2/1/2007,00:51:00,0.452,0.152,243.59,2,0,1,0
2/1/2007,00:52:00,0.452,0.154,244.03,2,0,1,0
2/1/2007,00:53:00,0.452,0.154,243.96,2,0,1,0
2/1/2007,00:54:00,0.448,0.15,243.23,2,0,2,0
2/1/2007,00:55:00,0.448,0.15,243.05,1.8,0,1,0
2/1/2007,00:56:00,0.448,0.15,242.99,1.8,0,1,0
2/1/2007,00:57:00,0.448,0.152,243.6,2,0,1,0
2/1/2007,00:58:00,0.394,0.06,243.86,1.6,0,1,0
2/1/2007,00:59:00,0.378,0,243.68,1.6,0,0,0
2/1/2007,01:00:00,0.378,0,243.75,1.6,0,0,0
2/1/2007,01:01:00,0.378,0,243.66,1.6,0,0,0
2/1/2007,01:02:00,0.378,0,243.98,1.6,0,0,0
2/1/2007,01:03:00,0.378,0,244.14,1.6,0,0,0
2/1/2007,01:04:00,0.376,0,243.49,1.6,0,0,0
2/1/2007,01:05:00,0.374,0,243.01,1.6,0,0,0
2/1/2007,01:06:00,0.374,0,242.67,1.6,0,0,0
2/1/2007,01:07:00,0.374,0,242.87,1.6,0,0,0
2/1/2007,01:08:00,0.4,0,243.3,1.8,0,0,0
2/1/2007,01:09:00,0.532,0.22,243.91,2.4,0,0,0
2/1/2007,01:10:00,0.564,0.278,244.33,2.6,0,0,0
2/1/2007,01:11:00,0.56,0.274,243.82,2.4,0,0,0
2/1/2007,01:12:00,0.558,0.274,243.78,2.4,0,0,0
2/1/2007,01:13:00,0.556,0.276,243.95,2.4,0,0,0
2/1/2007,01:14:00,0.552,0.274,243.68,2.4,0,0,0
2/1/2007,01:15:00,0.55,0.278,244.21,2.4,0,0,0
2/1/2007,01:16:00,0.548,0.276,244.03,2.4,0,0,0
2/1/2007,01:17:00,0.484,0.18,243.99,2,0,0,0
2/1/2007,01:18:00,0.472,0.166,243.55,2,0,0,0
2/1/2007,01:19:00,0.472,0.166,243.54,2,0,0,0
2/1/2007,01:20:00,0.472,0.168,243.84,2,0,0,0
2/1/2007,01:21:00,0.474,0.172,244.73,2,0,0,0
2/1/2007,01:22:00,0.476,0.174,244.98,2,0,0,0
2/1/2007,01:23:00,0.474,0.17,244.44,2,0,0,0
2/1/2007,01:24:00,0.44,0.122,243.44,1.8,0,0,0
2/1/2007,01:25:00,0.374,0,242.75,1.6,0,0,0
2/1/2007,01:26:00,0.374,0,242.47,1.6,0,0,0
2/1/2007,01:27:00,0.372,0,242.04,1.6,0,0,0
2/1/2007,01:28:00,0.372,0,241.68,1.6,0,0,0
2/1/2007,01:29:00,0.374,0,242.33,1.6,0,0,0
2/1/2007,01:30:00,0.374,0,242.63,1.6,0,0,0
2/1/2007,01:31:00,0.374,0,242.82,1.6,0,0,0
2/1/2007,01:32:00,0.376,0,242.97,1.6,0,0,0
2/1/2007,01:33:00,0.376,0,243.55,1.6,0,0,0
2/1/2007,01:34:00,0.378,0,243.71,1.6,0,0,0
2/1/2007,01:35:00,0.376,0,243.63,1.6,0,0,0
2/1/2007,01:36:00,0.376,0,243.41,1.6,0,0,0
2/1/2007,01:37:00,0.376,0,242.89,1.6,0,0,0
2/1/2007,01:38:00,0.374,0,242.54,1.6,0,0,0
2/1/2007,01:39:00,0.372,0,241.82,1.6,0,0,0
2/1/2007,01:40:00,0.37,0,241.38,1.6,0,0,0
2/1/2007,01:41:00,0.374,0,242.36,1.6,0,0,0
2/1/2007,01:42:00,0.378,0,243.64,1.6,0,0,0
2/1/2007,01:43:00,0.376,0,242.99,1.6,0,0,0
2/1/2007,01:44:00,0.376,0,243.21,1.6,0,0,0
2/1/2007,01:45:00,0.376,0,243.39,1.6,0,0,0
2/1/2007,01:46:00,0.376,0,243.56,1.6,0,0,0
